com.jrefinery.chart.JFreeChart::drawTitle(com.jrefinery.chart.AbstractTitle, java.awt.Graphics2D, java.awt.geom.Rectangle2D):void	com.jrefinery.chart.AbstractTitle	
com.jrefinery.chart.MeterLegend::updateInformation(com.jrefinery.chart.plot.MeterPlot, com.jrefinery.data.MeterDataset, int, int, com.jrefinery.chart.LegendItem[], java.awt.Paint[]):boolean	com.jrefinery.chart.plot.MeterPlot	
com.jrefinery.chart.axis.DateAxis::previousStandardDate(java.util.Date, com.jrefinery.chart.axis.DateTickUnit):java.util.Date	com.jrefinery.chart.axis.DateTickUnit	
com.jrefinery.chart.plot.ContourPlot::drawDomainMarker(java.awt.Graphics2D, com.jrefinery.chart.plot.ContourPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.Marker, java.awt.geom.Rectangle2D):void	com.jrefinery.chart.Marker	
com.jrefinery.chart.plot.ContourPlot::drawRangeMarker(java.awt.Graphics2D, com.jrefinery.chart.plot.ContourPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.Marker, java.awt.geom.Rectangle2D):void	com.jrefinery.chart.Marker	
com.jrefinery.chart.renderer.HorizontalIntervalBarRenderer::drawRangeMarker(java.awt.Graphics2D, com.jrefinery.chart.plot.CategoryPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.Marker, java.awt.geom.Rectangle2D, java.awt.Shape):void	com.jrefinery.chart.Marker	
com.jrefinery.chart.renderer.HorizontalShapeRenderer::drawRangeMarker(java.awt.Graphics2D, com.jrefinery.chart.plot.CategoryPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.Marker, java.awt.geom.Rectangle2D, java.awt.Shape):void	com.jrefinery.chart.Marker	
com.jrefinery.chart.renderer.MinMaxCategoryRenderer::drawRangeMarker(java.awt.Graphics2D, com.jrefinery.chart.plot.CategoryPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.Marker, java.awt.geom.Rectangle2D, java.awt.Shape):void	com.jrefinery.chart.Marker	
com.jrefinery.chart.renderer.VerticalIntervalBarRenderer::drawRangeMarker(java.awt.Graphics2D, com.jrefinery.chart.plot.CategoryPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.Marker, java.awt.geom.Rectangle2D, java.awt.Shape):void	com.jrefinery.chart.Marker	
com.jrefinery.chart.MeterLegend::createLegendItem(java.awt.Graphics, com.jrefinery.chart.LegendItem, double, double):com.jrefinery.chart.DrawableLegendItem	com.jrefinery.chart.LegendItem	
com.jrefinery.chart.demo.ThermometerDemo::setMeterValue(double):void	com.jrefinery.data.DefaultMeterDataset	
com.jrefinery.chart.StandardLegend::createDrawableLegendItem(java.awt.Graphics2D, com.jrefinery.chart.LegendItem, double, double):com.jrefinery.chart.DrawableLegendItem	com.jrefinery.chart.LegendItem	
com.jrefinery.chart.axis.DateAxis::nextStandardDate(java.util.Date, com.jrefinery.chart.axis.DateTickUnit):java.util.Date	com.jrefinery.chart.axis.DateTickUnit	
com.jrefinery.chart.demo.CompassDemo::adjustData(double):void	com.jrefinery.data.DefaultMeterDataset	
com.jrefinery.chart.demo.CompassDemo::pick1PointerActionPerformed(java.awt.event.ActionEvent):void	com.jrefinery.chart.plot.CompassPlot	
com.jrefinery.chart.plot.ContourPlot::fillplot(java.awt.Graphics2D, java.awt.geom.Rectangle2D, com.jrefinery.chart.ChartRenderingInfo, com.jrefinery.chart.plot.ContourPlot, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.axis.ValueAxis, com.jrefinery.chart.axis.ColorBarAxis, com.jrefinery.data.ContourDataset, com.jrefinery.chart.CrosshairInfo):void	com.jrefinery.chart.CrosshairInfo	
