000	-1:0	-13:12	=0:0	-29:3	BD1.000000:BI0.000000:BF1.000000	DD1.000000:DI0.000000:DF1.000000	UD0.000000:UI0.000000:UF0.000000	org.jgroups.blocks.RpcDispatcher::setNumMessages(UnicastTestRpc):void	org.jgroups.tests.UnicastTestRpc	Message: Usage skipped! Value difference is greater than or equals to 0.0!
000	=1:1	-3:2	=0:0	-10:0	BD0.000000:BI0.000000:BF0.000000	DD0.000000:DI0.000000:DF0.000000	UD0.000000:UI0.000000:UF0.000000	org.jgroups.util.MutableDigest::testImmutability4(DigestTest):void	org.jgroups.tests.DigestTest	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+1:2	-6:5	=0:0	+13:17	BD0.007353:BI0.000000:BF0.007353	DD0.007353:DI0.000000:DF0.007353	UD0.000000:UI0.000000:UF0.000000	org.jgroups.demos.DistributedTreeDemo::populateTable(Properties):void	org.jgroups.blocks.DistributedTree	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+1:2	=9:9	=0:0	-11:7	BD0.002381:BI0.033333:BF0.035714	DD0.002381:DI0.033333:DF0.035714	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.GMS::_startFlush(View, int, long, long):boolean	org.jgroups.protocols.pbcast.Merger	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+1:2	=9:9	=0:0	-11:7	BD0.026984:BI0.044444:BF0.071429	DD0.026984:DI0.044444:DF0.071429	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.GMS::sendViewAck(Address):void	org.jgroups.protocols.pbcast.Merger	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+2:3	-10:9	=0:0	-11:7	BD0.023492:BI0.040000:BF0.063492	DD0.023492:DI0.040000:DF0.063492	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.GMS::stopFlush(List<Address>):void	org.jgroups.protocols.pbcast.Merger	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+2:3	-3:1	=0:0	+3:10	BD0.225000:BI0.000000:BF0.225000	DD0.225000:DI0.000000:DF0.225000	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.STABLE::handleStableMessage(Address, Digest):void	org.jgroups.util.MutableDigest	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+2:3	-3:1	=0:0	+3:10	BD0.225000:BI0.000000:BF0.225000	DD0.225000:DI0.000000:DF0.225000	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.STABLE::updateLocalDigest(Digest, Address):boolean	org.jgroups.util.MutableDigest	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+2:3	=9:9	=0:0	-10:7	BD0.014109:BI0.049383:BF0.063492	DD0.014109:DI0.049383:DF0.063492	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.GMS::sendJoinResponse(JoinRsp, Address):void	org.jgroups.protocols.pbcast.Merger	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+2:3	=9:9	=0:0	-15:7	BD0.047619:BI0.095238:BF0.142857	DD0.047619:DI0.095238:DF0.142857	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.GmsImpl::sendMergeRejectedResponse(Address, MergeId):void	org.jgroups.protocols.pbcast.Merger	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	+5:6	-9:8	=0:0	-10:7	BD0.028219:BI0.098765:BF0.126984	DD0.028219:DI0.098765:DF0.126984	UD0.000000:UI0.000000:UF0.000000	org.jgroups.protocols.pbcast.GMS::castViewChangeWithDest(View, Digest, JoinRsp, Collection<Address>):void	org.jgroups.protocols.pbcast.Merger	Message: Usage skipped! Value difference is greater than or equals to 0.0!
