-0.057525-111	org.apache.tapestry5.json.JSONArray::parse(JSONTokener):void	org.apache.tapestry5.json.JSONTokener
-0.065642-111	org.apache.tapestry5.internal.transform.RenderPhaseMethodWorker::addMethodCallToBody(BodyBuilder, TransformMethodSignature, ClassTransformation):void	org.apache.tapestry5.ioc.util.BodyBuilder
-0.079374-111	org.apache.tapestry5.internal.services.ClientBehaviorSupportImpl::addElementInit(String, String, JSONObject):void	org.apache.tapestry5.json.JSONObject
-0.091667-111	org.apache.tapestry.mojo.ComponentReport::readParameters(ClassDescription, Element):void	org.apache.tapestry.mojo.ClassDescription
-0.110185-111	org.apache.tapestry.mojo.ComponentReport::readEvents(ClassDescription, Element):void	org.apache.tapestry.mojo.ClassDescription
-0.110185-111	org.apache.tapestry.mojo.ComponentReport::readPublishedParameters(ClassDescription, Element):void	org.apache.tapestry.mojo.ClassDescription
-0.238045-111	org.apache.tapestry5.test.PageTester::extractNonBlank(Element, String):String	org.apache.tapestry5.dom.Element
-0.238045-111	org.apache.tapestry5.test.PageTester::validateElementName(Element, String):void	org.apache.tapestry5.dom.Element
-0.238450-111	org.apache.tapestry5.internal.util.MethodInvocationBuilder::buildMethodInvocation(TransformMethodSignature, ClassTransformation):String	org.apache.tapestry5.services.TransformMethodSignature
-0.239950-111	org.apache.tapestry5.internal.services.InternalClassTransformationImpl::match(CtMethod, TransformMethodSignature):boolean	org.apache.tapestry5.services.TransformMethodSignature
-0.266617-111	org.apache.tapestry5.internal.services.InternalClassTransformationImpl::addMethodToDescription(String, TransformMethodSignature, String):void	org.apache.tapestry5.services.TransformMethodSignature
-0.343254-111	org.apache.tapestry5.ioc.internal.services.BridgeBuilder::addBridgeMethod(int, MethodSignature, MethodSignature):void	org.apache.tapestry5.ioc.services.MethodSignature
-0.408420-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::consumeToEndElementAndPopBodyElement(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
-0.408420-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::expansion(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
-0.436198-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::attribute(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
-0.463041-111	org.apache.tapestry5.internal.transform.OnEventWorker::extractComponentId(TransformMethodSignature, OnEvent):String	org.apache.tapestry5.services.TransformMethodSignature
-0.463041-111	org.apache.tapestry5.internal.transform.OnEventWorker::extractEventType(TransformMethodSignature, OnEvent):String	org.apache.tapestry5.services.TransformMethodSignature
-0.463648-111	org.apache.tapestry5.ioc.internal.services.FilterMethodAnalyzer::findServiceInterfacePosition(MethodSignature, MethodSignature):int	org.apache.tapestry5.ioc.services.MethodSignature
-0.467336-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::queueOverrideTokensForExtensionPoint(ExtensionPointToken, Stack<TemplateToken>, List<ComponentTemplate>):void	org.apache.tapestry5.internal.parser.ExtensionPointToken
-0.551488-111	org.apache.tapestry5.ioc.internal.services.ChainBuilderImpl::addVoidMethod(ClassFab, Class, MethodSignature):void	org.apache.tapestry5.ioc.services.MethodSignature
0.000000-000	org.example.testapp.services.SpringStatusProvider::onSuccess(Start):void	org.example.testapp.pages.Start
0.000000-011	org.apache.tapestry5.corelib.mixins.NotEmpty::afterRender():void	org.apache.tapestry5.dom.Element
0.018327-011	org.apache.tapestry5.internal.services.ClientBehaviorSupportImpl::addFunction(JSONObject, String, String):void	org.apache.tapestry5.json.JSONObject
0.029078-011	org.apache.tapestry5.internal.services.RenderSupportImpl::addInitFunctionInvocation(String, Object):void	org.apache.tapestry5.json.JSONObject
0.063802-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::cdata(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.063802-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::comment(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.063802-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::defineNamespacePrefix(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.063802-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::text(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.083333-011	org.apache.tapestry5.internal.services.StaxTemplateParser::ensureParameterWithinComponent(TemplateParserState):void	org.apache.tapestry5.internal.services.TemplateParserState
0.091580-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::dtd(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.132038-011	org.apache.tapestry5.test.PageTester::assertIsSubmit(Element):void	org.apache.tapestry5.dom.Element
0.184088-011	org.apache.tapestry5.dom.Element::addMappingIfNeeded(MapHolder, String):void	org.apache.tapestry5.dom.MapHolder
0.264801-000	org.apache.tapestry5.ioc.services.MethodSignature::failIfNotFrozen(InternalClassTransformationImpl):void	org.apache.tapestry5.internal.services.InternalClassTransformationImpl
