Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.derby.iapi.tools.i18n.LocalizedInput::caseInfo(org.apache.derby.impl.tools.ij.mtGrammar, org.apache.derby.impl.tools.ij.mtTestCase):void	org.apache.derby.impl.tools.ij.mtGrammar	0/8	
Move Method	org.apache.derby.impl.sql.compile.Level2OptimizerImpl::dumpConglomerateDescriptor(org.apache.derby.iapi.sql.dictionary.ConglomerateDescriptor):java.lang.String	org.apache.derby.iapi.sql.dictionary.ConglomerateDescriptor	0/7	
Move Method	org.apache.derby.iapi.store.raw.xact.RawTransaction::update2(org.apache.derby.impl.store.raw.data.BaseContainerHandle, java.util.Observable, java.lang.Object):void	org.apache.derby.impl.store.raw.data.BaseContainerHandle	0/6	
Move Method	org.apache.derbyTesting.system.oe.direct.StatementHelper::getAddress(org.apache.derbyTesting.system.oe.model.Address, java.sql.ResultSet, java.lang.String):org.apache.derbyTesting.system.oe.model.Address	org.apache.derbyTesting.system.oe.model.Address	0/6	
Move Method	org.apache.derby.iapi.util.ByteArray::restoreMe2(org.apache.derby.impl.store.raw.data.InsertOperation, org.apache.derby.iapi.store.raw.Transaction, org.apache.derby.impl.store.raw.data.BasePage, org.apache.derby.iapi.store.raw.log.LogInstant, org.apache.derby.iapi.services.io.LimitObjectInput):void	org.apache.derby.impl.store.raw.data.InsertOperation	0/5	
Move Method	org.apache.derby.impl.sql.compile.PredicateList::generateSetColumn(org.apache.derby.impl.sql.compile.ExpressionClassBuilder, org.apache.derby.iapi.services.compiler.MethodBuilder, int, org.apache.derby.impl.sql.compile.Predicate, org.apache.derby.iapi.sql.compile.Optimizable, org.apache.derby.iapi.services.compiler.LocalField, boolean):void	org.apache.derby.impl.sql.compile.Predicate	0/5	
Move Method	org.apache.derby.impl.drda.Pkgnamcsn.StatementKey::isKeyFor(org.apache.derby.impl.drda.Pkgnamcsn):boolean	org.apache.derby.impl.drda.Pkgnamcsn	0/4	
Move Method	org.apache.derby.impl.sql.compile.TableElementList::setCollationTypeOnCharacterStringColumn(org.apache.derby.iapi.sql.dictionary.SchemaDescriptor, org.apache.derby.impl.sql.compile.ColumnDefinitionNode):void	org.apache.derby.impl.sql.compile.ColumnDefinitionNode	0/4	
Move Method	org.apache.derby.impl.services.cache.ClockPolicy::isEvictable(org.apache.derby.impl.services.cache.CacheEntry, org.apache.derby.impl.services.cache.ClockPolicy.Holder, boolean):boolean	org.apache.derby.impl.services.cache.ClockPolicy.Holder	0/3	
Move Method	org.apache.derby.impl.sql.catalog.DD_Version::fillIndex(org.apache.derby.iapi.store.access.TransactionController, long, org.apache.derby.impl.sql.catalog.TabInfoImpl, int):void	org.apache.derby.impl.sql.catalog.TabInfoImpl	0/3	
