Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.jfree.chart.StandardChartTheme::applyToAbstractRenderer(org.jfree.chart.renderer.AbstractRenderer):void	org.jfree.chart.renderer.AbstractRenderer	0/4	
Move Method	org.jfree.chart.axis.DateAxis::calculateDateForPosition(org.jfree.data.time.RegularTimePeriod, org.jfree.chart.axis.DateTickMarkPosition):java.util.Date	org.jfree.data.time.RegularTimePeriod	0/3	
Move Method	org.jfree.chart.renderer.OutlierListCollection::updateOutlierList(org.jfree.chart.renderer.OutlierList, org.jfree.chart.renderer.Outlier):boolean	org.jfree.chart.renderer.OutlierList	0/3	
Move Method	org.jfree.chart.ClipPath::setDomainCrosshairLockedOnData(org.jfree.chart.plot.ContourPlot, boolean):void	org.jfree.chart.plot.ContourPlot	0/2	
Move Method	org.jfree.chart.PaintMap::setIgnoreNullValues(org.jfree.chart.plot.PiePlot, boolean):void	org.jfree.chart.plot.PiePlot	0/2	
Move Method	org.jfree.chart.axis.ValueAxis::setRangeGridlinesVisible(org.jfree.chart.plot.FastScatterPlot, boolean):void	org.jfree.chart.plot.FastScatterPlot	0/2	
Move Method	org.jfree.chart.plot.CategoryPlot::drawRangeCrosshair(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotOrientation, double, org.jfree.chart.axis.ValueAxis, java.awt.Stroke, java.awt.Paint):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.plot.ContourPlot::drawDomainMarker(java.awt.Graphics2D, org.jfree.chart.plot.ContourPlot, org.jfree.chart.axis.ValueAxis, org.jfree.chart.plot.Marker, java.awt.geom.Rectangle2D):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.plot.ContourPlot::drawRangeMarker(java.awt.Graphics2D, org.jfree.chart.plot.ContourPlot, org.jfree.chart.axis.ValueAxis, org.jfree.chart.plot.Marker, java.awt.geom.Rectangle2D):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.plot.Plot::setPlot(org.jfree.chart.axis.Axis):void	org.jfree.chart.axis.Axis	0/2	
Move Method	org.jfree.chart.plot.XYPlot::drawDomainCrosshair(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotOrientation, double, org.jfree.chart.axis.ValueAxis, java.awt.Stroke, java.awt.Paint):void	org.jfree.chart.axis.ValueAxis	0/2	
Move Method	org.jfree.chart.plot.XYPlot::drawRangeCrosshair(java.awt.Graphics2D, java.awt.geom.Rectangle2D, org.jfree.chart.plot.PlotOrientation, double, org.jfree.chart.axis.ValueAxis, java.awt.Stroke, java.awt.Paint):void	org.jfree.chart.axis.ValueAxis	0/2	
