Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.ibm.as400.access.FTPThread::readObject2(com.ibm.as400.access.FTP, java.io.ObjectInputStream):void	com.ibm.as400.access.FTP	0/8	
Move Method	com.ibm.as400.data.ProgramCallDocument::endInternal2(com.ibm.as400.resource.RJob, int):void	com.ibm.as400.resource.RJob	0/6	
Move Method	com.ibm.as400.resource.IntegerValueMap::start2(com.ibm.as400.access.NetServer, boolean):void	com.ibm.as400.access.NetServer	0/5	
Move Method	com.ibm.as400.access.AS400JDBCDriver::prepareConnection(com.ibm.as400.access.AS400, com.ibm.as400.access.JDDataSourceURL, java.util.Properties, com.ibm.as400.access.JDProperties):java.sql.Connection	com.ibm.as400.access.AS400	0/4	
Move Method	com.ibm.as400.access.AS400ZonedDecimal::addToHashtable(com.ibm.as400.data.PcmlDocument, com.ibm.as400.data.PcmlDocNode):void	com.ibm.as400.data.PcmlDocument	0/2	
Move Method	com.ibm.as400.access.IFSFileImplRemote::determineIsDirectory(com.ibm.as400.access.IFSListAttrsRep):boolean	com.ibm.as400.access.IFSListAttrsRep	0/2	
Move Method	com.ibm.as400.access.IFSFileImplRemote::determineIsFile(com.ibm.as400.access.IFSListAttrsRep):boolean	com.ibm.as400.access.IFSListAttrsRep	0/2	
Move Method	com.ibm.as400.access.AS400JDBCConnectionPool::closePooledConnection(com.ibm.as400.access.AS400JDBCPooledConnection):void	com.ibm.as400.access.AS400JDBCPooledConnection	0/1	
Move Method	com.ibm.as400.access.JDConnectionPoolManager::closePhysicalConnection(com.ibm.as400.access.AS400JDBCPooledConnection):void	com.ibm.as400.access.AS400JDBCPooledConnection	0/1	
Move Method	com.ibm.as400.access.JDConnectionPoolManager::isExpired(com.ibm.as400.access.AS400JDBCPooledConnection, long):boolean	com.ibm.as400.access.AS400JDBCPooledConnection	0/1	
Move Method	com.ibm.as400.access.JDConnectionPoolManager::isStale(com.ibm.as400.access.AS400JDBCPooledConnection, long):boolean	com.ibm.as400.access.AS400JDBCPooledConnection	0/1	
Move Method	com.ibm.as400.access.PrintObjectListImplRemote::newNPCPAttribute(com.ibm.as400.access.NPDataStream):com.ibm.as400.access.NPCPAttribute	com.ibm.as400.access.NPDataStream	0/1	
