Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.lucene.analysis.core.TestDuelingAnalyzers::assertEquals(java.lang.String, org.apache.lucene.analysis.TokenStream, org.apache.lucene.analysis.TokenStream):void	org.apache.lucene.analysis.TokenStream	0/7	
Move Method	org.apache.lucene.analysis.util.RollingCharBuffer::normalizeIterationMark(org.apache.lucene.analysis.ja.JapaneseIterationMarkCharFilter, char):char	org.apache.lucene.analysis.ja.JapaneseIterationMarkCharFilter	0/6	
Move Method	org.apache.lucene.benchmark.byTask.feeds.DemoHTMLParser::parse(org.apache.lucene.benchmark.byTask.feeds.DocData, java.lang.String, java.util.Date, org.xml.sax.InputSource, org.apache.lucene.benchmark.byTask.feeds.TrecContentSource):org.apache.lucene.benchmark.byTask.feeds.DocData	org.apache.lucene.benchmark.byTask.feeds.DocData	0/6	
Move Method	org.apache.lucene.index.TestIndexWriterMergePolicy::checkInvariants(org.apache.lucene.index.IndexWriter):void	org.apache.lucene.index.IndexWriter	0/6	
Move Method	org.apache.lucene.codecs.lucene41.TestBlockPostingsFormat3::assertTermsStatistics(org.apache.lucene.index.Terms, org.apache.lucene.index.Terms):void	org.apache.lucene.index.Terms	0/5	
Move Method	org.apache.lucene.collation.TestCollationKeyFilterFactory::assertCollatesToSame(org.apache.lucene.analysis.TokenStream, org.apache.lucene.analysis.TokenStream):void	org.apache.lucene.analysis.TokenStream	0/5	
Move Method	org.apache.lucene.search.similarities.SimilarityBase::fillBasicStats(org.apache.lucene.search.similarities.BasicStats, org.apache.lucene.search.CollectionStatistics, org.apache.lucene.search.TermStatistics):void	org.apache.lucene.search.similarities.BasicStats	0/5	
Move Method	org.apache.lucene.analysis.payloads.DelimitedPayloadTokenFilterTest::assertTermEquals(java.lang.String, org.apache.lucene.analysis.TokenStream, byte[]):void	org.apache.lucene.analysis.TokenStream	0/4	
Move Method	org.apache.lucene.benchmark.byTask.feeds.TrecContentSourceTest::assertDocData(org.apache.lucene.benchmark.byTask.feeds.DocData, java.lang.String, java.lang.String, java.lang.String, java.util.Date):void	org.apache.lucene.benchmark.byTask.feeds.DocData	0/4	
Move Method	org.apache.lucene.codecs.lucene3x.TermInfosReader::sameTermInfo(org.apache.lucene.codecs.lucene3x.TermInfo, org.apache.lucene.codecs.lucene3x.TermInfo, org.apache.lucene.codecs.lucene3x.SegmentTermEnum):boolean	org.apache.lucene.codecs.lucene3x.TermInfo	0/4	
Move Method	org.apache.lucene.index.IndexWriter::getFieldInfos(org.apache.lucene.index.SegmentInfo):org.apache.lucene.index.FieldInfos	org.apache.lucene.index.SegmentInfo	0/4	
Move Method	org.apache.lucene.index.TestIntBlockPool::assertReader(org.apache.lucene.util.IntBlockPool.SliceReader, org.apache.lucene.index.TestIntBlockPool.StartEndAndValues):void	org.apache.lucene.index.TestIntBlockPool.StartEndAndValues	0/4	
Move Method	org.apache.lucene.index.TestPerSegmentDeletes::part2(org.apache.lucene.index.IndexWriter, org.apache.lucene.index.TestPerSegmentDeletes.RangeMergePolicy):void	org.apache.lucene.index.IndexWriter	0/4	
Move Method	org.apache.lucene.search.TestFieldValueFilter::buildIndex(org.apache.lucene.index.RandomIndexWriter, int):int[]	org.apache.lucene.index.RandomIndexWriter	0/4	
Move Method	org.apache.lucene.search.grouping.TestGrouping::fillFields(org.apache.lucene.search.grouping.TestGrouping.GroupDoc, org.apache.lucene.search.Sort):java.lang.Comparable<?>[]	org.apache.lucene.search.grouping.TestGrouping.GroupDoc	0/4	
