Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.mvnforum.admin.GeneralAdminTasksWebHandler::processMailTemplate(com.mvnforum.db.MemberBean, java.lang.String):java.lang.String	com.mvnforum.db.MemberBean	0/5	
Move Method	com.mvnsoft.mvnad.db.ZoneBean::getNextBanner(com.mvnsoft.mvnad.delivery.ZoneManager):com.mvnsoft.mvnad.db.BannerBean	com.mvnsoft.mvnad.delivery.ZoneManager	0/2	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::nodeDefined(net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):boolean	net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	0/1	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfigurationConverter::reverseIterator(net.myvietnam.mvncore.configuration.ConfigurationKey):java.util.Iterator	net.myvietnam.mvncore.configuration.ConfigurationKey	0/1	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfigurationXMLReader.SAXVisitor::isAttributeNode(net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):boolean	net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	0/1	
Move Method	com.mvnforum.db.CategoryBean::drawForum2(com.mvnforum.categorytree.impl.ListForums, com.mvnforum.categorytree.CategoryTreeEvent):java.lang.String	com.mvnforum.categorytree.impl.ListForums	1/9	
Move Method	com.mvnforum.categorytree.CategoryTreeEvent::drawForum2(com.mvnforum.categorytree.impl.RSSImpl):java.lang.String	com.mvnforum.categorytree.impl.RSSImpl	1/8	
Move Method	com.mvnforum.common.ForumIconLegend::drawForum2(com.mvnforum.categorytree.impl.CategoryTreeListenerImpl, com.mvnforum.categorytree.CategoryTreeEvent):java.lang.String	com.mvnforum.categorytree.impl.CategoryTreeListenerImpl	1/6	
Move Method	com.mvnforum.db.MemberBean::createWatchMessageBean(com.mvnforum.user.WatchMail, java.util.Collection):void	com.mvnforum.user.WatchMail	1/6	
Move Method	com.mvnforum.categorytree.CategoryTree::build():java.lang.String	com.mvnforum.categorytree.CategoryBuilder	1/5	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::findPropertyNodes(net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator, net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node, java.util.Collection):void	net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator	1/5	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::findLastPathNode(net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator, net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator	1/4	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::createAddPath(net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator, net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator	1/3	
Move Method	com.mvnforum.user.ThreadWebHandler::deleteThread(net.myvietnam.mvncore.web.GenericRequest, com.mvnforum.db.ThreadBean):void	com.mvnforum.db.ThreadBean	1/2	
Move Method	com.mvnforum.admin.importexport.jive.JiveForumXML::updateAddedPost(com.mvnforum.admin.PostXML, java.lang.String, java.sql.Timestamp):void	com.mvnforum.admin.ForumXML	2/4	
Move Method	com.mvnforum.admin.importexport.jive.JiveThreadXML::updateAddedPost(com.mvnforum.admin.PostXML, java.lang.String, java.sql.Timestamp):void	com.mvnforum.admin.ThreadXML	2/3	
