Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.mvnforum.admin.GeneralAdminTasksWebHandler::processMailTemplate(com.mvnforum.db.MemberBean, java.lang.String):java.lang.String	com.mvnforum.db.MemberBean	0/5	
Move Method	com.mvnforum.admin.AttachmentXML::setAttachDownloadCount(com.mvnforum.admin.importexport.mvnforum.MvnForumAttachmentXML, java.lang.String):void	com.mvnforum.admin.importexport.mvnforum.MvnForumAttachmentXML	0/1	
Move Method	com.mvnforum.admin.CategoryXML::setCategoryOrder(com.mvnforum.admin.importexport.mvnforum.MvnForumCategoryXML, java.lang.String):void	com.mvnforum.admin.importexport.mvnforum.MvnForumCategoryXML	0/1	
Move Method	com.mvnforum.admin.ForumXML::setForumPassword(com.mvnforum.admin.importexport.mvnforum.MvnForumForumXML, java.lang.String):void	com.mvnforum.admin.importexport.mvnforum.MvnForumForumXML	0/1	
Move Method	com.mvnforum.admin.MemberXML::setMemberEmailVisible(com.mvnforum.admin.importexport.mvnforum.MvnForumMemberXML, java.lang.String):void	com.mvnforum.admin.importexport.mvnforum.MvnForumMemberXML	0/1	
Move Method	com.mvnforum.admin.ThreadXML::addJiveThreadWatch(com.mvnforum.admin.importexport.jive.JiveThreadXML, java.lang.String, java.lang.String, java.lang.String):void	com.mvnforum.admin.importexport.jive.JiveThreadXML	0/1	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::nodeDefined(net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):boolean	net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	0/1	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfigurationConverter::reverseIterator(net.myvietnam.mvncore.configuration.ConfigurationKey):java.util.Iterator	net.myvietnam.mvncore.configuration.ConfigurationKey	0/1	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfigurationXMLReader.SAXVisitor::isAttributeNode(net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):boolean	net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	0/1	
Move Method	com.mvnforum.categorytree.CategoryTree::build():java.lang.String	com.mvnforum.categorytree.CategoryBuilder	1/5	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::findPropertyNodes(net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator, net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node, java.util.Collection):void	net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator	1/5	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::findLastPathNode(net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator, net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator	1/4	
Move Method	com.mvnforum.user.PostWebHandler::deletePost(net.myvietnam.mvncore.web.GenericRequest, com.mvnforum.db.PostBean):void	com.mvnforum.db.PostBean	1/3	
Move Method	net.myvietnam.mvncore.configuration.HierarchicalConfiguration::createAddPath(net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator, net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node):net.myvietnam.mvncore.configuration.HierarchicalConfiguration.Node	net.myvietnam.mvncore.configuration.ConfigurationKey.KeyIterator	1/3	
Move Method	com.mvnforum.user.ThreadWebHandler::deleteThread(net.myvietnam.mvncore.web.GenericRequest, com.mvnforum.db.ThreadBean):void	com.mvnforum.db.ThreadBean	1/2	
Move Method	com.mvnforum.admin.importexport.jive.JiveForumXML::updateAddedPost(com.mvnforum.admin.PostXML, java.lang.String, java.sql.Timestamp):void	com.mvnforum.admin.ForumXML	2/4	
Move Method	com.mvnsoft.mvnad.delivery.ZoneManager::getBannerInZone(java.sql.Timestamp):java.lang.String	com.mvnsoft.mvnad.db.ZoneBean	2/4	
Move Method	com.mvnforum.admin.importexport.jive.JiveThreadXML::updateAddedPost(com.mvnforum.admin.PostXML, java.lang.String, java.sql.Timestamp):void	com.mvnforum.admin.ThreadXML	2/3	
