Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.tapestry5.ioc.internal.util.IdAllocator::copyMethod2(org.apache.tapestry5.internal.services.InternalClassTransformationImpl, org.apache.tapestry5.services.TransformMethodSignature, int, java.lang.String):void	org.apache.tapestry5.internal.services.InternalClassTransformationImpl	0/6	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::cdata(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	0/2	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::defineNamespacePrefix(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	0/2	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::dtd(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	0/2	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::comment(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	0/2	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::text(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	0/2	
Move Method	org.apache.tapestry5.internal.services.InternalClassTransformationImpl::match(javassist.CtMethod, org.apache.tapestry5.services.TransformMethodSignature):boolean	org.apache.tapestry5.services.TransformMethodSignature	0/2	
Move Method	org.apache.tapestry5.ioc.internal.services.RegistryShutdownHubImpl::findServiceIdsForInterface(org.apache.tapestry5.ioc.internal.RegistryImpl, java.lang.Class):java.util.List<java.lang.String>	org.apache.tapestry5.ioc.internal.RegistryImpl	0/2	
Move Method	org.apache.tapestry5.test.PageTester::extractNonBlank(org.apache.tapestry5.dom.Element, java.lang.String):java.lang.String	org.apache.tapestry5.dom.Element	0/2	
Move Method	org.apache.tapestry5.test.PageTester::assertIsSubmit(org.apache.tapestry5.dom.Element):void	org.apache.tapestry5.dom.Element	0/2	
Move Method	org.apache.tapestry.mojo.ComponentReport::readEvents(org.apache.tapestry.mojo.ClassDescription, nu.xom.Element):void	org.apache.tapestry.mojo.ClassDescription	0/1	
Move Method	org.apache.tapestry.mojo.ComponentReport::readParameters(org.apache.tapestry.mojo.ClassDescription, nu.xom.Element):void	org.apache.tapestry.mojo.ClassDescription	0/1	
Move Method	org.apache.tapestry.mojo.ComponentReport::readPublishedParameters(org.apache.tapestry.mojo.ClassDescription, nu.xom.Element):void	org.apache.tapestry.mojo.ClassDescription	0/1	
Move Method	org.apache.tapestry5.internal.services.ClientBehaviorSupportImpl::addFunction(org.apache.tapestry5.json.JSONObject, java.lang.String, java.lang.String):void	org.apache.tapestry5.json.JSONObject	0/1	
Move Method	org.apache.tapestry5.internal.services.StaxTemplateParser::ensureParameterWithinComponent(org.apache.tapestry5.internal.services.TemplateParserState):void	org.apache.tapestry5.internal.services.TemplateParserState	0/1	
Move Method	org.apache.tapestry5.internal.transform.OnEventWorker::extractComponentId(org.apache.tapestry5.services.TransformMethodSignature, org.apache.tapestry5.annotations.OnEvent):java.lang.String	org.apache.tapestry5.services.TransformMethodSignature	0/1	
Move Method	org.apache.tapestry5.internal.transform.OnEventWorker::extractEventType(org.apache.tapestry5.services.TransformMethodSignature, org.apache.tapestry5.annotations.OnEvent):java.lang.String	org.apache.tapestry5.services.TransformMethodSignature	0/1	
Move Method	org.apache.tapestry5.ioc.internal.services.ChainBuilderImpl::addVoidMethod(org.apache.tapestry5.ioc.services.ClassFab, java.lang.Class, org.apache.tapestry5.ioc.services.MethodSignature):void	org.apache.tapestry5.ioc.services.MethodSignature	0/1	
Move Method	org.apache.tapestry5.test.PageTester::validateElementName(org.apache.tapestry5.dom.Element, java.lang.String):void	org.apache.tapestry5.dom.Element	0/1	
Move Method	org.apache.tapestry5.json.JSONArray::parse(org.apache.tapestry5.json.JSONTokener):void	org.apache.tapestry5.json.JSONTokener	1/4	
Move Method	org.apache.tapestry5.corelib.internal.ComponentActionSink::afterRender(org.apache.tapestry5.corelib.components.FormFragment, org.apache.tapestry5.MarkupWriter):void	org.apache.tapestry5.corelib.components.FormFragment	1/3	
Move Method	org.apache.tapestry5.corelib.mixins.NotEmpty::afterRender():void	org.apache.tapestry5.dom.Element	1/3	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::attribute(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	1/3	
Move Method	org.apache.tapestry5.internal.services.RenderSupportImpl::addInitFunctionInvocation(java.lang.String, java.lang.Object):void	org.apache.tapestry5.json.JSONObject	1/3	
Move Method	org.apache.tapestry5.ioc.internal.services.FilterMethodAnalyzer::findServiceInterfacePosition(org.apache.tapestry5.ioc.services.MethodSignature, org.apache.tapestry5.ioc.services.MethodSignature):int	org.apache.tapestry5.ioc.services.MethodSignature	1/3	
Move Method	org.apache.tapestry5.dom.Element::addMappingIfNeeded(org.apache.tapestry5.dom.MapHolder, java.lang.String):void	org.apache.tapestry5.dom.MapHolder	1/2	
Move Method	org.apache.tapestry5.internal.pageload.PageLoaderImpl::expansion(org.apache.tapestry5.internal.pageload.AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext	1/2	
